country_code,country,year,fertility_rate,life_expectancy,size
ABW,Aruba,2010,1.941,75.404,100341
ABW,Aruba,2015,1.972,75.683,104257
ABW,Aruba,2020,1.325,75.723,106585
AFG,Afghanistan,2010,6.099,60.851,28189672
AFG,Afghanistan,2015,5.405,62.659,33753499
AFG,Afghanistan,2020,4.75,62.575,38972230
AGO,Angola,2010,6.194,56.726,23364185
AGO,Angola,2015,5.774,60.655,28127721
AGO,Angola,2020,5.371,62.261,33428486
ALB,Albania,2010,1.656,77.936,2913021
ALB,Albania,2015,1.613,78.644,2880703
ALB,Albania,2020,1.4,76.989,2837849
AND,Andorra,2010,1.27,NA,71519
AND,Andorra,2015,NA,NA,71746
AND,Andorra,2020,NA,NA,77700
ARE,United Arab Emirates,2010,1.79,78.334,8481771
ARE,United Arab Emirates,2015,1.486,79.223,8916899
ARE,United Arab Emirates,2020,1.46,78.946,9287289
ARG,Argentina,2010,2.346,75.721,40788453
ARG,Argentina,2015,2.301,76.76,43131966
ARG,Argentina,2020,1.911,75.892,45376763
ARM,Armenia,2010,1.501,73.16,2946293
ARM,Armenia,2015,1.602,74.436,2878595
ARM,Armenia,2020,1.575,72.173,2805608
ASM,American Samoa,2010,NA,NA,54849
ASM,American Samoa,2015,NA,NA,51368
ASM,American Samoa,2020,NA,NA,46189
ATG,Antigua and Barbuda,2010,1.785,76.82,85695
ATG,Antigua and Barbuda,2015,1.567,77.913,89941
ATG,Antigua and Barbuda,2020,1.569,78.841,92664
AUS,Australia,2010,1.928,81.6951219512195,22031750
AUS,Australia,2015,1.814,82.4,23815995
AUS,Australia,2020,1.581,83.2,25649248
AUT,Austria,2010,1.44,80.5804878048781,8363404
AUT,Austria,2015,1.49,81.190243902439,8642699
AUT,Austria,2020,1.44,81.1926829268293,8916864
AZE,Azerbaijan,2010,1.92,69.529,9054332
AZE,Azerbaijan,2015,1.94,71.451,9649341
AZE,Azerbaijan,2020,1.7,66.868,10093121
BDI,Burundi,2010,6.26,57.081,9126605
BDI,Burundi,2015,5.695,60.217,10727148
BDI,Burundi,2020,5.177,61.566,12220227
BEL,Belgium,2010,1.86,80.1829268292683,10895586
BEL,Belgium,2015,1.7,80.9926829268293,11274196
BEL,Belgium,2020,1.55,80.6951219512195,11538604
BEN,Benin,2010,5.39,58.363,9445710
BEN,Benin,2015,5.319,59.377,10932783
BEN,Benin,2020,5.048,60.088,12643123
BFA,Burkina Faso,2010,5.936,56.477,16116845
BFA,Burkina Faso,2015,5.478,58.845,18718019
BFA,Burkina Faso,2020,4.869,59.731,21522626
BGD,Bangladesh,2010,2.34,68.638,148391139
BGD,Bangladesh,2015,2.114,70.491,157830000
BGD,Bangladesh,2020,2.003,71.968,167420951
BGR,Bulgaria,2010,1.57,73.5121951219512,7395599
BGR,Bulgaria,2015,1.53,74.6146341463415,7177991
BGR,Bulgaria,2020,1.56,73.6585365853659,6934015
BHR,Bahrain,2010,2.053,78.748,1213645
BHR,Bahrain,2015,2.131,79.405,1362142
BHR,Bahrain,2020,1.832,79.174,1477469
BHS,"Bahamas, The",2010,1.835,72.731,373272
BHS,"Bahamas, The",2015,1.576,73.104,392697
BHS,"Bahamas, The",2020,1.394,72.677,406471
BIH,Bosnia and Herzegovina,2010,1.276,77.073,3811088
BIH,Bosnia and Herzegovina,2015,1.289,76.182,3524324
BIH,Bosnia and Herzegovina,2020,1.359,76.225,3318407
BLR,Belarus,2010,1.494,70.4048780487805,9483836
BLR,Belarus,2015,1.724,73.6243902439025,9461076
BLR,Belarus,2020,1.474,72.4572195121951,9379952
BLZ,Belize,2010,2.606,72.272,322106
BLZ,Belize,2015,2.438,73.187,359871
BLZ,Belize,2020,1.999,72.854,394921
BMU,Bermuda,2010,1.7,80.499,65124
BMU,Bermuda,2015,1.4,80.918,65237
BMU,Bermuda,2020,1.4,81.136,63893
BOL,Bolivia,2010,3.213,66.162,10223270
BOL,Bolivia,2015,2.886,67.318,11090085
BOL,Bolivia,2020,2.651,64.467,11936162
BRA,Brazil,2010,1.81,73.182,196353492
BRA,Brazil,2015,1.777,74.332,205188205
BRA,Brazil,2020,1.649,74.009,213196304
BRB,Barbados,2010,1.687,75.712,274711
BRB,Barbados,2015,1.614,76.65,278083
BRB,Barbados,2020,1.628,77.393,280693
BRN,Brunei Darussalam,2010,1.937,74.849,396053
BRN,Brunei Darussalam,2015,1.947,74.75,421437
BRN,Brunei Darussalam,2020,1.796,74.795,441725
BTN,Bhutan,2010,2.296,68.43,705516
BTN,Bhutan,2015,1.957,70.343,743274
BTN,Bhutan,2020,1.433,71.609,772506
BWA,Botswana,2010,3.023,60.013,2091664
BWA,Botswana,2015,2.942,63.818,2305171
BWA,Botswana,2020,2.836,65.647,2546402
CAF,Central African Republic,2010,5.937,49.255,4660067
CAF,Central African Republic,2015,6.035,52.793,4819333
CAF,Central African Republic,2020,5.985,54.604,5343020
CAN,Canada,2010,1.65,81.3221951219512,34004889
CAN,Canada,2015,1.6,81.8156097560976,35702908
CAN,Canada,2020,1.41,81.6704878048781,38007166
CHE,Switzerland,2010,1.52,82.2463414634147,7824909
CHE,Switzerland,2015,1.54,82.8975609756098,8282396
CHE,Switzerland,2020,1.46,83,8638167
CHI,Channel Islands,2010,1.633,81.12,156933
CHI,Channel Islands,2015,1.521,81.433,162190
CHI,Channel Islands,2020,1.447,81.264,171113
CHL,Chile,2010,1.844,78.501,17004162
CHL,Chile,2015,1.737,79.746,17870124
CHL,Chile,2020,1.537,79.377,19300315
CHN,China,2010,1.687,75.599,1337705000
CHN,China,2015,1.67,76.977,1379860000
CHN,China,2020,1.281,78.077,1411100000
CIV,Cote d'Ivoire,2010,5.088,55.023,21120042
CIV,Cote d'Ivoire,2015,4.813,57.762,23596741
CIV,Cote d'Ivoire,2020,4.472,59.032,26811790
CMR,Cameroon,2010,5.16,56.582,19878036
CMR,Cameroon,2015,4.832,59.658,23012646
CMR,Cameroon,2020,4.543,60.833,26491087
COD,"Congo, Dem. Rep.",2010,6.587,56.417,66391257
COD,"Congo, Dem. Rep.",2015,6.437,58.49,78656904
COD,"Congo, Dem. Rep.",2020,6.206,59.739,92853164
COG,"Congo, Rep.",2010,4.822,61.683,4437884
COG,"Congo, Rep.",2015,4.564,63.233,5064386
COG,"Congo, Rep.",2020,4.234,63.785,5702174
COL,Colombia,2010,1.992,75.033,44816108
